1	MACABEO
2	XAREL.LO
3	MERLOT
4	CHARDONNAY
5	PINOT NOIR
6	SYRAH
7	SUMOLL
8	ALBARIÑO
9	PARELLADA
10	TEMPRANILLO
11	CABERNET SAUVIGNON
12	MOSCATEL
13	GARNACHA TINTA
