867	PAUGRANTE (XAR) 0,95	9244.83911132813	Tipo A	1956	2	35	80073
142	CARRETERA	4329.30908203125	Base	1966	1	29	82326
1166	MER-FONT DURAN, JORD	16637.1585693359	Base	2001	3	8	87907
2529	PALAMOSES	21946.5432128906	Tipo A	1990	1	75	83598
747	LA SOLAYA - PARELLAD	12523.4577636719	Tipo A	1979	9	9	81403
1477	RAMON JEPET	9693.4765625	Tipo A	2002	2	29	84353
1904	RAMON	5316.40319824219	Base	1978	2	17	83301
1873	BOET	7415.7890625	Tipo A	1999	2	23	85903
106	ELS ROURES - XAREL.L	7786.53442382813	Tipo A	1982	2	30	81031
1879	VINYA NOVA	10504.2783203125	Tipo A	2001	1	35	85903
69	MICALO - PARELLADA 1	42372.6697998047	Tipo A	1985	9	65	84383
678	LA GRANADA - XAREL.L	8953.3759765625	Tipo A	1990	2	41	80313
70	CEMENTIRI - XAREL.LO	82125.9351806641	Tipo A	1988	2	65	84383
72	LA XERMADE	6114.95373535156	Tipo A	1984	2	5	81023
73	CAL DOMINGO	9908.83728027344	Tipo A	1953	1	5	81023
892	DEVANT CASA (PAR)	5522.28369140625	Base	1982	9	29	80426
78	SAT- PLANA 1 - MACAB	25242.2955322266	Tipo A	1988	1	58	81396
160	BAIX BARRACA (BALLAN	12673.2144775391	Tipo A	1975	2	5	89101
96	VINYA VELLA STA. MAR	7025.16918945313	Tipo A	1969	2	5	81031
1746	PAULÓ	7847.65539550781	Tipo A	1989	2	68	80213
1758	JOVE JAN RAFOLS	14924.6312255859	Tipo A	1990	1	68	80213
1616	PAL	3541.05725097656	Tipo A	1990	1	30	80063
1738	ANUNCIS	2210.36706542969	Base	1977	1	68	80213
1742	FERRATO	2442.94201660156	Base	1992	2	68	80213
788	CREU D'EMBRAS (MAC)	10942.4410400391	Tipo A	1988	1	34	80513
2745	GRANJA	12502.3872070313	Tipo A	1984	2	82	81403
625	HERMITÀ	8915.33483886719	Tipo A	1972	1	35	80302
1567	OLIVERES	15118.2425537109	Tipo A	1984	1	58	89523
975	ST.CLIMENT -(MAC)	12197.7490234375	Tipo A	1964	1	5	81102
1021	LA SERRA (XAR)	2239.61657714844	Tipo A	1959	2	23	87013
2988	CAL MONTSERRAT	7396.08728027344	Tipo A	1966	2	82	85383
145	PRATS	5910.90063476563	Base	1988	1	29	82326
639	MASIA-CAL PIQUES	24986.8602294922	Tipo A	1991	2	34	81023
1558	L'ESTACIO	8387.58605957031	Tipo A	1984	2	35	83062
1561	FORNOT	5832.6328125	Tipo A	1980	4	58	89523
1570	OTERO-GRAN	9376.79260253906	Tipo A	1944	1	23	89523
1674	PAU DEL MET	10925.0948486328	Tipo A	2003	2	68	86301
134	GRAN CARME	5310.16003417969	Base	1984	1	29	82326
239	FRANCESOS - XAREL.LO	3869.40234375	Tipo A	1985	2	29	81204
155	FP POL.9 PAR.27	11289.1463623047	Base	1949	1	58	83301
628	SERDALLA	16417.2716064453	Tipo A	2004	2	35	80302
1071	L'AVENC (XAR)	8181.28173828125	Base	1994	2	25	83161
1893	POU VELL	4038.5322265625	Tipo A	1974	9	23	83309
1895	CALET	10777.7263183594	Tipo A	1982	1	23	83309
240	IGOLS - XAREL.LO	8867.2998046875	Tipo A	1988	2	49	81204
372	CAL CASANOVAS - XARE	6555.87548828125	Tipo A	1964	2	35	80193
340	CLOT - PARELLADA	3274.37341308594	Tipo A	1972	9	30	83068
354	CASTELLET- XAREL.LO	3441.427734375	Tipo A	2006	2	9	80382
646	PLANA	11390.7528076172	Tipo A	1998	2	29	80882
338	DENTES	10853.5208740234	Tipo A	1998	1	30	83068
339	CLOT - MACABEU	2035.22680664063	Tipo A	1984	1	30	83068
